Zone Identifier;Source Identifier;Company Code;Posting Date;Financial Period;GCOA Account;Local Account;Cost Center;Cognos Account;Cognos Dimension;Measure Code;Currency;Amount
"MEX";"Budget";"2005";"";"2016M02";"6103006";"60001007";"190N5D33A0";"405000";"ZM04";"BUDGET";"MXN";662.94000
"MEX";"Budget";"2005";"";"2016M10";"6106005";"60003122";"190N5C04A0";"405000";"ZM04";"BUDGET";"MXN";4851.38000
"MEX";"Budget";"2007";"";"2016M06";"6103003";"60001011";"190N7439C0";"405301";"ZM04";"BUDGET";"MXN";975.37000
"MEX";"Budget";"2009";"";"2016M03";"6104036";"60001015";"190N9D06A0";"405000";"ZM04";"BUDGET";"MXN";4054.31000
"MEX";"Budget";"2011";"";"2016M08";"6025017";"60000225";"190NBI50A0";"405000";"ZM04";"BUDGET";"MXN";1475.73000
"MEX";"Budget";"2014";"";"2016M07";"6103002";"60001004";"190NED2740";"405101";"ZM04";"BUDGET";"MXN";1717.51000
"MEX";"Budget";"3001";"";"2016M09";"6022000";"60000807";"210C180090";"404001";"SM00";"BUDGET";"MXN";113357.50000
"MEX";"Budget";"3002";"";"2016M10";"6201026";"60003045";"210C2A0090";"404001";"SM00";"BUDGET";"MXN";10667.39000
"MEX";"Budget";"3003";"";"2016M10";"6201004";"60000526";"210C3A00D0";"405600";"SM00";"BUDGET";"MXN";1538293.24000
"MEX";"Budget";"3004";"";"2016M09";"6100500";"60003104";"210C4300C0";"405301";"SM00";"BUDGET";"MXN";151996.80000
"MEX";"Budget";"3005";"";"2016M05";"6308502";"60001033";"210C5A0090";"404001";"SM00";"BUDGET";"MXN";7819.80000
"MEX";"Budget";"3006";"";"2016M03";"6103006";"60001006";"210C670070";"403001";"SM00";"BUDGET";"MXN";748.38000
"MEX";"Budget";"3008";"";"2016M02";"6104721";"60005020";"210C7A0080";"404000";"SM00";"BUDGET";"MXN";25513.98000
"MEX";"Budget";"3009";"";"2016M05";"6202000";"60000702";"210C820050";"405102";"SM00";"BUDGET";"MXN";12411.18000
"MEX";"Budget";"3010";"";"2016M05";"6024004";"60000307";"210C9A0090";"404001";"SM00";"BUDGET";"MXN";241082.44000
"MEX";"Budget";"3011";"";"2016M02";"6300500";"60000041";"210CA23050";"405102";"SM00";"BUDGET";"MXN";185.76000
