Zone Identifier;GL Account Code;Cost Center Code;GCOA Account Code;Sub Package Code
"MEX";"60000809";"210C180090";"6200514";"469"
"MEX";"60003148";"440H7300C0";"6100007";"200"
"MEX";"60004407";"660K5K16A0";"6305500";"279"
"MEX";"60004300";"210CG70070";"6103015";"447"
"MEX";"60000023";"210C720830";"6900118";"391"
"MEX";"60003122";"210C6302C0";"6106005";"201"
"MEX";"60000040";"660K5C05A0";"6300000";"261"
"MEX";"60000042";"210CH305C0";"6300500";"262"
"MEX";"60001600";"210CP20430";"6200559";"210"
"MEX";"60000035";"210CH309C0";"6300000";"262"
"MEX";"60001003";"210C880090";"6103002";"241"
"MEX";"60000054";"750K9M00A0";"6303505";"270"
"MEX";"60000030";"210CFA0990";;"333"
"MEX";"60000821";"570P16I1C0";"6304504";"332"
"MEX";"60000035";"210CQ20630";"6300000";"261"
"MEX";"60000042";"210CH20650";"6300500";"262"
"MEX";"60000301";"210C620650";"6102546";"238"
"MEX";"60001026";"210CSA0090";"6103006";"276"
"MEX";"60003121";"750T2N10C0";"6106002";"201"
"MEX";"60004300";"390L3101C0";"6103015";"352"
"MEX";"60000036";"210CO309C0";"6300000";"261"
"MEX";"60004300";"210C2304C0";"6103015";"352"
"MEX";"60004404";"210C9306C0";"6103015";"352"
"MEX";"60004519";"210C720450";"6104050";"116"
"MEX";"60000003";"210CPA0790";"6300000";"261"
"MEX";"60000229";"190N3D1320";"6101064";"340"
"MEX";"60000012";"190EGD2740";"6302006";"269"
"MEX";"60000302";"750KFM00A0";"6102546";"239"
"MEX";"60004311";"5705A316C0";"6106019";"204"
"MEX";"60000003";"210CLA0290";"6300000";"261"
"MEX";"60000035";"210CAA0790";"6300000";"261"
"MEX";"60000041";"210CC20950";"6300500";"262"
"MEX";"60000818";"210C7A0180";"6104538";"186"
"MEX";"60000036";"210CGA0690";"6300000";"261"
"MEX";"60001013";"5705AM36C0";"6103015";"352"
"MEX";"60000033";"210CP20650";"6302006";"269"
"MEX";"60004105";"";"6450000";
"MEX";"60001031";"210C2A1F90";"6308501";"452"
"MEX";"60003041";"580R14C2C0";"6304500";"332"
"MEX";"60001012";"210C520050";"6103015";"447"
"MEX";"60000013";"210C1A1F90";"6302000";"269"
"MEX";"60001004";"5705MFL1C0";"6103002";"241"
"MEX";"60003013";"210C522130";"6302001";"330"
"MEX";"60000308";"210C1A0490";"6201025";"457"
"MEX";"60000023";"210C9A1090";"6900118";"335"
"MEX";"60003013";"210CK301C0";"6302001";"330"
"MEX";"60001012";"580C1AG4C0";"6103015";"241"
"MEX";"60001011";"58021311C0";"6103003";"349"
"MEX";"60000021";"210CAA0590";"6300000";"261"
"MEX";"60000513";"210CM100C0";"6201020";"124"
"MEX";"60000036";"210C620150";"6300000";"262"
"MEX";"60001600";"210CU20030";"6200559";"210"
"MEX";"60004404";"210C3J01C0";"6103015";"352"
"MEX";"60001017";"210CH300C0";"6104084";"449"
"MEX";"60000209";"210C2A0080";"6104553";"186"
"MEX";"60000022";"190N9H49A0";"6300500";"262"
"MEX";"60000022";"210CC308C0";"6300500";"262"
"MEX";"60004300";"210C620050";"6103015";"352"
"MEX";"60004404";"210CA324C0";"6103015";"352"
"MEX";"60000025";"210CB301C0";"6300000";"261"
"MEX";"60000516";"210CU80090";"6201004";"123"
"MEX";"60000511";"210C420630";;"235"
"MEX";"60000043";"210CN20730";"6300000";"261"
"MEX";"60005111";"210CK70D60";"6103533";"157"
"MEX";"60000081";"570X1A21C0";"6304010";"272"
"MEX";"60001015";"190N3D06A0";"6104036";"116"
"MEX";"60000044";"210CNA0790";"6300000";"261"
"MEX";"60000043";"210C721030";"6300000";"261"
"MEX";"60000023";"210CA327C0";"6900118";"391"
"MEX";"60001031";"210CL100C0";"6308501";"278"
"MEX";"60000039";"210CC600C0";"6300000";"261"
"MEX";"60000234";"210CO21130";;"923"
"MEX";"60000023";"210C8J0570";"6900118";"335"
"MEX";"60000001";"210C141FC0";"6300000";"261"
"MEX";"60000033";"210CFA1190";"6302006";"269"
"MEX";"60000035";"210C4305C0";"6300000";"262"
"MEX";"60001300";"210C521650";"6200559";"210"
"MEX";"60000023";"210CB304C0";"6900118";"335"
"MEX";"60001007";"210CLJ0570";"6103006";"240"
"MEX";"60001017";"210C220050";"6104084";"449"
"MEX";"60000022";"210CQ20350";"6300500";"262"
"MEX";"60000046";"190N5D23A0";"6303505";"270"
"MEX";"60001207";"210C8A0190";"6104525";"187"
"MEX";"60001015";"210CCA0990";"6104036";"116"
"MEX";"60001014";"210CS400C0";"6103008";"253"
"MEX";"60000042";"210CJ20250";"6300500";"262"
"MEX";"60000049";"570IM9L8C0";"6300000";"261"
"MEX";"60000047";"190NED31A0";"6302006";"269"
"MEX";"60001012";"210C1100C0";"6103015";"241"
"MEX";"60000117";"210CHA1180";"6203504";"181"
"MEX";"60005104";"A10S976A60";"6103519";"154"
"MEX";"60000213";"210C5A1590";"6201015";"124"
"MEX";"60000011";"210CQ316C0";"6300005";"273"
"MEX";"60000305";"210CF20130";;"238"
"MEX";"60000039";"210CS20950";"6300000";"261"
"MEX";"60000001";"210CQ20830";"6300000";"261"
"MEX";"60003156";"210CF20830";;"238"
"MEX";"60000214";"210C320530";"6102561";"137"
"MEX";"60000021";"210C2305C0";"6300000";"261"
"MEX";"60004306";"880OB302C0";"6200522";"106"
"MEX";"60000012";"210CG300C0";"6302006";"269"
"MEX";"60000003";"210CF20050";"6300000";"261"
"MEX";"60000045";"570X1316C0";"6303505";"270"
"MEX";"60000020";"190N5337C0";"6300000";"261"
"MEX";"60000042";"210C720550";"6300500";"262"
"MEX";"60000035";"210COA1590";"6300000";"261"
"MEX";"60000002";"210CA22830";"6309602";"334"
"MEX";"60001012";"210CS400C0";"6103015";"447"
"MEX";"60003013";"210CC20730";"6302001";"330"
"MEX";"60000039";"210C4400C0";"6300000";"261"
"MEX";"60000234";"210CC20030";;"435"
"MEX";"60000020";"210CF20050";"6300000";"261"
"MEX";"60000813";"210CQ20030";"6200525";"106"
"MEX";"60000237";"210C621830";;"923"
"MEX";"60001013";"570515G9F0";"6103015";"447"
"MEX";"60001006";"580213D4C0";"6103006";"240"
"MEX";"60000058";"190N1D12A0";"6300005";"273"
"MEX";"60003122";"190N1C05A0";"6106005";"201"
"MEX";"60001030";"210CP100C0";"6308501";"452"
"MEX";"60000010";"210C6317C0";"6300005";"273"
"MEX";"60000013";"210CS308C0";"6302000";"269"
"MEX";"60000031";"210CPA0390";"6104655";"199"
"MEX";"60000702";"210CH20050";"6202000";"103"
"MEX";"60000003";"210CI20330";"6300000";"261"
"MEX";"60003121";"210C120450";"6106002";"201"
"MEX";"60001018";"210CIA0290";"6104035";"116"
"MEX";"60000003";"210CH20350";"6300000";"261"
"MEX";"60000001";"A806JS07C0";"6300000";"261"
"MEX";"60001600";"220C521750";"6200559";"210"
"MEX";"60000800";"660K6354C0";"6200555";"106"
"MEX";"60000008";"580R1446C0";"6300005";"273"
"MEX";"60001425";"220CG20530";"6200562";"420"
"MEX";"60000021";"210CN20450";"6300000";"261"
"MEX";"60000003";"210C9302C0";"6300000";"261"
"MEX";"60000040";"210CP20450";"6300000";"261"
"MEX";"60000030";"210C6A1390";;"333"
"MEX";"60000025";"210CM20130";"6300000";"261"
"MEX";"60004404";"210CL20250";"6103015";"352"
"MEX";"60000025";"210CP20230";"6300000";"261"
"MEX";"60000043";"210C9305C0";"6300000";"261"
"MEX";"60001016";"190N3101C0";"6104036";"449"
"MEX";"60000009";"A806J600C0";"6300005";"273"
"MEX";"60004404";"210CQA2080";"6103015";"352"
"MEX";"60004300";"210C8600C0";"6103015";"447"
"MEX";"60000049";"190N5D1320";"6300000";"261"
"MEX";"60000606";"1D0N3G6420";"6102546";"290"
"MEX";"60000047";"190NBF45A0";"6302006";"269"
"MEX";"60000035";"210CK20630";"6300000";"261"
"MEX";"60001035";"190NBD11A0";"6308512";"452"
"MEX";"60004404";"210CG307C0";"6103015";"352"
"MEX";"60000001";"210COA0590";"6300000";"261"
"MEX";"60001006";"210C3A0790";"6103006";"240"
"MEX";"60000049";"210CF20850";"6300000";"261"
"MEX";"60001009";"A806JT00C0";"6103005";"348"
"MEX";"60000214";"210CG20930";"6102561";"137"
"MEX";"60000504";"570I19E5C0";"6304502";"332"
"MEX";"60000035";"210CLA0490";"6300000";"261"
"MEX";"60000025";"57041517F0";"6300000";"261"
"MEX";"60000042";"750T5L0020";"6300500";"262"
"MEX";"60001007";"190N7D2740";"6103006";"447"
"MEX";"60000003";"190N3D1320";"6300000";"261"
"MEX";"60000504";"190N7C03A0";"6304502";"332"
"MEX";"60000213";"210C721350";"6201015";"457"
"MEX";"60003114";"210CQ21550";"6100501";"208"
"MEX";"60000044";"210C920150";"6300000";"261"
"MEX";"60001032";"210CA21550";"6308510";"452"
"MEX";"60004300";"390L1101C0";"6103015";"352"
"MEX";"60003112";"190N1D12A0";"6308500";"278"
"MEX";"60000043";"210C6J0570";"6300000";"261"
"MEX";"60000009";"210CO21550";"6300005";"273"
"MEX";"60000300";"210C7302C0";"6020000";"247"
"MEX";"60001014";"210CGJ09C0";"6103008";"253"
"MEX";"60003112";"190N1C03A0";"6308500";"278"
"MEX";"60001010";"210CCJ01C0";"6103005";"348"
"MEX";"60000023";"210CFA1190";"6900118";"391"
"MEX";"60000001";"210C9300C0";"6300000";"261"
"MEX";"60003035";"FG00218E55";"6104525";"187"
"MEX";"60001207";"210C331H80";"6104525";"187"
"MEX";"60000011";"210CH21350";"6300005";"273"
"MEX";"60001200";"210CAA2180";"6104528";"187"
"MEX";"60000610";"750T2M00A0";"6100004";"102"
"MEX";"60003104";"210CNA0090";"6100500";"208"
"MEX";"60001036";"210CA400C0";"6308512";"452"
"MEX";"60000305";"210C920830";;"238"
"MEX";"60000022";"210CR307C0";"6300500";"262"
"MEX";"60001013";"210C1304C0";"6103015";"447"
"MEX";"60001007";"190N9D33A0";"6103006";"447"
"MEX";"60001034";"210CS400C0";"6308511";"452"
"MEX";"60000215";"210CM400C0";"6101007";"142"
"MEX";"60000010";"210CIJ0130";"6300005";"273"
"MEX";"60004404";"7502HC00A0";"6103015";"352"
"MEX";"60000043";"690K2E43A0";"6300000";"261"
"MEX";"60001016";"210CQA0990";"6104036";"449"
"MEX";"60000001";"210CR307C0";"6300000";"261"
"MEX";"60000023";"210CJ20450";"6900118";"391"
"MEX";"60003121";"210CA21350";"6106002";"201"
"MEX";"60000305";"210CE20230";;"922"
"MEX";"60004518";"210CH312C0";"6104028";"116"
"MEX";"60001007";"5705A312C0";"6103006";"240"
"MEX";"60000049";"210C4305C0";"6300000";"261"
"MEX";"60000820";"210CS21730";;"236"
"MEX";"60000022";"210C920550";"6300500";"262"
"MEX";"60000045";"190N1F45A0";"6303505";"270"
"MEX";"60000202";"210CO21830";"6101029";"147"
"MEX";"60000001";"210CE306C0";"6300000";"261"
"MEX";"60001300";"210C720250";"6200559";"210"
"MEX";"60005012";"570IMDJ7C0";"6104501";"409"
"MEX";"60000025";"210CR20130";"6300000";"261"
"MEX";"60001037";"190N7101C0";"6308512";"278"
"MEX";"60000020";"1905GD2740";"6300000";"261"
"MEX";"60000044";"210CG20130";"6300000";"261"
"MEX";"60000048";"210CH20450";"6302006";"269"
"MEX";"60000006";"210CAA0790";"6306500";"277"
"MEX";"60001004";"210CAA0890";"6103002";"241"
"MEX";"60000042";"210CF309C0";"6300500";"262"
"MEX";"60000508";"A106JQ01C0";"6201004";"123"
"MEX";"60000035";"570IMDJ7C0";"6300000";"261"
"MEX";"60000049";"190NBD2740";"6300000";"261"
"MEX";"60000007";"570X1948C0";"6300005";"273"
"MEX";"60000003";"210CB20430";"6300000";"261"
"MEX";"60003128";"210C6309C0";"6100503";"208"
"MEX";"60000011";"110NBD1320";"6300005";"273"
"MEX";"60000081";"190N3101C0";"6304010";"272"
"MEX";"60003042";"";"6104511";"187"
"MEX";"60004106";"210C4A0090";"6450000";"188"
"MEX";"60005014";"210C2A0580";"6104650";"198"
"MEX";"60000218";"190NDI50A0";"6025010";"147"
"MEX";"60004404";"210C920950";"6103015";"352"
"MEX";"60000049";"210CP303C0";"6300000";"261"
"MEX";"60000021";"210CS20250";"6300000";"261"
"MEX";"60001014";"190NBB02A0";"6103008";"253"
"MEX";"60000010";"750KFL0040";"6300005";"273"
"MEX";"60001100";"210C5320C0";"6106501";"244"
"MEX";"60000080";"210C7A0890";"6304004";"272"
"MEX";"60000041";"210CE306C0";"6300500";"262"
"MEX";"60003013";"210C5J09C0";"6302001";"330"
"MEX";"60000040";"210CM20550";"6300000";"261"
"MEX";"60000300";"210CA321C0";"6020000";"247"
"MEX";"60000002";"210C320730";"6309602";"334"
"MEX";"60000001";"750T4F51A0";"6300000";"261"
"MEX";"60000025";"210CJ20650";"6300000";"261"
"MEX";"60000025";"210CI80090";"6300000";"261"
"MEX";"60000023";"210CS20450";"6900118";"335"
"MEX";"60003121";"190N3D31A0";"6106002";"201"
"MEX";"60000001";"580P1664C0";"6300000";"261"
"MEX";"60000202";"190NDB02A0";"6101029";"147"
"MEX";"60000309";"210C521550";"6102561";"137"
"MEX";"60000001";"210CS20150";"6300000";"261"
"MEX";"60000010";"210CO316C0";"6300005";"273"
"MEX";"60000013";"210CO20730";"6302000";"269"
"MEX";"60000918";"170N1500F0";"6105016";"408"
"MEX";"60000085";"190N3D1640";"6300000";"262"
"MEX";"60001018";"210CR70070";"6104035";"449"
"MEX";"60000011";"570X14Y5C0";"6300005";"273"
"MEX";"60000042";"210CY20050";"6300500";"262"
"MEX";"60000039";"210CJ305C0";"6300000";"261"
"MEX";"60000025";"190EGD2740";"6300000";"261"
"MEX";"60000509";"210CSA0090";"6201004";"123"
"MEX";"60003104";"210CKA0290";"6100500";"208"
"MEX";"60000043";"210C220030";"6300000";"261"
"MEX";"60001011";"750T3500A0";"6103003";"349"
"MEX";"60001006";"210CAJ0570";"6103006";"240"
"MEX";"60003160";"210CO20450";"6102502";"134"
"MEX";"60000007";"210CA21030";"6300005";"273"
"MEX";"60004404";"210CK302C0";"6103015";"447"
"MEX";"60000012";"210CM20630";"6302006";"269"
"MEX";"60000009";"570C1AG2C0";"6300005";"273"
"MEX";"60000043";"210CS308C0";"6300000";"261"
"MEX";"60001010";"190N3I50A0";"6103005";"447"
"MEX";"60000216";"210CF400C0";"6101023";"305"
"MEX";"60003104";"210CHA0090";"6100500";"208"
"MEX";"60000305";"210CS20050";;"922"
"MEX";"60000216";"210C522150";"6101023";"305"
"MEX";"60001018";"190N3337C0";"6104035";"116"
"MEX";"60000089";"190NED2640";"6300000";"261"
"MEX";"60000036";"210CN304C0";"6300000";"261"
"MEX";"60000217";"210CR20950";"6025000";"144"
"MEX";"60000021";"210CS20550";"6300000";"261"
"MEX";"60000013";"570X1AB2C0";"6302000";"269"
"MEX";"60000504";"690K1101C0";"6304502";"322"
"MEX";"60001207";"210COA1290";"6104525";"187"
"MEX";"60000008";"190N1H49A0";"6300005";"273"
"MEX";"60000036";"210CHA2090";"6300000";"261"
"MEX";"60001600";"210CO20330";"6200559";"210"
"MEX";"60003000";"710LD600C0";"6202000";"103"
"MEX";"60001003";"210C6A0590";"6103002";"447"
"MEX";"60000057";"660K5K07A0";"6300005";"273"
"MEX";"60000515";"210C820050";"6102504";"135"
"MEX";"60000048";"210CM600C0";"6302006";"269"
"MEX";"60000040";"210CP80090";"6300000";"261"
"MEX";"60004524";"390L2337C0";"6104023";"114"
"MEX";"60005012";"580B1029C0";"6104501";"184"
"MEX";"60000035";"210CC20230";"6300000";"261"
"MEX";"60003039";"210CP300C0";"6201004";"123"
"MEX";"60003121";"210C6312C0";"6106002";"201"
"MEX";"60000213";"210CE400C0";"6201015";"124"
"MEX";"60001403";"210CPA0590";"6200562";"211"
"MEX";"60000214";"210CK20050";"6102561";"137"
"MEX";"60000043";"210CE20150";"6300000";"261"
"MEX";"60000033";"210CHA0390";"6302006";"269"
"MEX";"60000022";"210CQ20050";"6300500";"262"
"MEX";"60000007";"750T4M00A0";"6300005";"273"
"MEX";"60000003";"750T9E00A0";"6300000";"261"
"MEX";"60000020";"210CI20530";"6300000";"261"
"MEX";"60001003";"690K1E06A0";"6103002";"447"
"MEX";"60001037";"210CQ400C0";"6308512";"278"
"MEX";"60000201";"210CE20550";"6101007";"142"
"MEX";"60000002";"210COA0290";"6309602";"334"
"MEX";"60000057";"750T3L0020";"6300005";"273"
"MEX";"60000023";"210CA318C0";"6900118";"391"
"MEX";"60000044";"210C420030";"6300000";"261"
"MEX";"60000307";"210C6304C0";"6024004";"243"
"MEX";"60001012";"190N9337C0";"6103015";"241"
"MEX";"60004312";"210CQA1780";"6104501";"409"
